"Statistic","University League Table 2027"
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2026 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"113","Anglia Ruskin University","104","3.07","2.81","0.24","63.5","72.4","16.0","1605","561","89.0","465"
"114","Lincoln Bishop University","102","3.37","1.92","0.39","72.9","79.5","16.7","1947","838","85.7","463"
"115","University of Westminster, London","108","3.14","3.00","0.47","59.0","64.3","19.7","2047","648","87.8","459"
"116","Southampton, Solent University","107","3.21","2.16","0.25","61.7","67.5","16.5","1717","519","87.6","458"
"117","University of Greater Manchester","108","3.18","1.89","0.20","66.1","69.4","13.4","1964","729","83.4","444"
"118","Arts University Plymouth","124","3.29","","","45.5","57.4","12.8","722","744","92.7","438"
"119","Buckinghamshire New University","98","3.17","2.25","0.13","55.9","70.3","14.5","2389","1423","81.4","436"
"120","University of Northampton","94","3.18","2.22","0.24","67.9","71.6","16.2","2556","367","87.0","434"
"121","Middlesex University","98","3.20","2.78","0.45","57.6","67.6","16.8","2993","421","83.8","433"
"122","University of Roehampton","89","3.16","3.11","0.44","62.5","61.5","22.1","1948","706","89.4","431"
"123","University of Cumbria","108","2.98","2.30","0.25","82.1","83.8","17.3","1531","320","89.2","425"
"124","University of Buckingham","101","2.99","","","83.8","86.7","","1247","538","91.1","405"
"125","Leeds Trinity University","104","3.16","2.11","0.37","59.4","71.8","15.8","2210","801","80.9","404"
"125","Plymouth Marjon University","62","3.28","2.49","0.29","71.1","72.3","15.0","994","138","89.4","404"
"127","Birmingham Newman University","101","3.28","2.03","0.43","64.4","71.5","17.6","1410","367","87.2","387"
"128","University of the West of Scotland","117","3.19","2.48","0.45","63.3","70.9","18.9","1362","366","80.3","344"
"129","London Metropolitan University","95","3.21","2.63","0.20","54.3","60.6","19.4","1802","713","83.7","331"
"130","Wrexham University","102","3.17","2.19","0.32","69.7","74.5","24.0","1183","245","81.8","307"
