"Statistic","University League Table "
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Degree Completion,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2022 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Degree Completion","Overall Score"
"120","University of Wales Trinity Saint David","139","3.97","2.50","0.10","55.2","69.1","21.1","1096","401","75.7","419"
"121","University of Wolverhampton","112","3.83","2.56","0.35","61.7","68.4","16.5","1748","318","72.7","414"
"122","Newman University, Birmingham","109","3.97","2.03","0.43","59.6","72.8","18.0","1486","341","79.7","402"
"123","London Metropolitan University","96","4.07","2.63","0.20","52.9","67.1","21.4","2314","954","70.2","388"
"124","University of Bolton","114","4.03","1.89","0.20","55.8","66.4","16.4","1381","478","77.3","370"
"125","University of the West of Scotland","140","3.75","2.48","0.45","65.5","72.3","23.5","1703","460","78.7","369"
"126","University of East London","107","3.86","2.58","0.35","55.1","67.4","26.2","988","572","78.8","332"
"127","Glyndwr University, Wrexham","107","4.10","2.19","0.32","59.1","70.3","24.9","972","398","75.6","320"
"128","University of Bedfordshire","108","3.83","2.71","0.23","64.4","72.4","24.3","1197","480","62.6","310"
"128","Leeds Trinity University","111","3.74","2.11","0.37","56.2","66.8","21.5","1256","386","72.2","310"
"130","Ravensbourne University London","111","3.54","2.20","0.17","59.6","71.8","24.6","1150","309","79.0","300"
