entry_tariff,satisfaction,staff_ratio,career_prospects,continuation,research_quality,rank_lag1,satisfaction_lag1,staff_ratio_lag1,career_lag1,rank_change,satisfaction_change,staff_ratio_change,career_change,rank_3yr_avg,satisfaction_3yr_avg,rank,volatility_label,university,year
123,3.975,17.9,76.4,82.6,2.64,97.0,3.975,18.1,70.0,-6.0,0.0,-0.20000000000000284,6.400000000000006,95.66666666666667,3.975,91,stable,Birmingham City,2020
122,3.975,16.6,76.4,84.0,2.64,91.0,3.975,17.9,76.4,-7.0,0.0,-1.2999999999999972,0.0,90.66666666666667,3.975,84,stable,Birmingham City,2021
122,3.88,17.2,70.8,86.6,2.7,82.0,3.15,16.5,70.8,7.0,0.73,0.6999999999999993,0.0,85.5,3.5149999999999997,89,stable,Birmingham City University,2023
130,3.9,17.1,70.8,84.65,2.7,89.0,3.88,17.2,70.8,1.0,0.020000000000000018,-0.09999999999999787,0.0,87.0,3.643333333333333,90,stable,Birmingham City University,2024
130,3.08,17.1,70.8,84.65,2.7,90.0,3.9,17.1,70.8,2.0,-0.8199999999999998,0.0,0.0,90.33333333333333,3.6199999999999997,92,stable,Birmingham City University,2025
126,3.05,17.8,70.8,84.65,2.7,92.0,3.08,17.1,70.8,11.0,-0.03000000000000025,0.6999999999999993,0.0,95.0,3.3433333333333337,103,falling,Birmingham City University,2026
108,3.15,17.6,70.8,84.65,2.7,103.0,3.05,17.8,70.8,-8.0,0.10000000000000009,-0.1999999999999993,0.0,96.66666666666667,3.0933333333333333,95,rising,Birmingham City University,2027
105,3.26,17.8,70.8,85.9,2.03,124.0,3.31,16.7,70.8,0.0,-0.050000000000000266,1.1000000000000014,0.0,124.0,3.285,124,stable,Birmingham Newman University,2026
101,3.28,17.6,70.8,85.9,2.03,124.0,3.26,17.8,70.8,3.0,0.020000000000000018,-0.1999999999999993,0.0,125.0,3.283333333333333,127,stable,Birmingham Newman University,2027
282,3.94,28.6,66.8,90.1,1.96,118.0,3.94,30.2,66.4,-1.0,0.0,-1.5999999999999979,0.3999999999999915,117.5,3.94,117,stable,Bishop Grosseteste,2016
284,3.94,25.1,67.8,90.0,1.96,117.0,3.94,28.6,66.8,2.0,0.0,-3.5,1.0,118.0,3.94,119,stable,Bishop Grosseteste,2017
282,3.94,22.3,67.1,91.6,1.96,119.0,3.94,25.1,67.8,-4.0,0.0,-2.8000000000000007,-0.7000000000000028,117.0,3.94,115,stable,Bishop Grosseteste,2018
110,3.94,22.0,69.8,91.6,1.96,115.0,3.94,22.3,67.1,5.0,0.0,-0.3000000000000007,2.700000000000003,118.0,3.94,120,stable,Bishop Grosseteste,2019
110,3.94,20.2,72.7,90.1,1.96,120.0,3.94,22.0,69.8,-1.0,0.0,-1.8000000000000007,2.9000000000000057,118.0,3.94,119,stable,Bishop Grosseteste,2020
